"iri","template_names"
"flont:presentParticiple","ppr"
"flont:pastParticipleMS","ppms"
"flont:pastParticipleMS","ppm"
"flont:pastParticipleMS","pp"
"flont:pastParticipleFS","ppfs"
"flont:pastParticipleFS","ppf"
"flont:pastParticipleMP","ppmp"
"flont:pastParticipleFP","ppfp"
"flont:indicativePresent1S","ind.p.1s"
"flont:indicativePresent2S","ind.p.2s"
"flont:indicativePresent3S","ind.p.3s"
"flont:indicativePresent1P","ind.p.1p"
"flont:indicativePresent2P","ind.p.2p"
"flont:indicativePresent3P","ind.p.3p"
"flont:indicativeImperfect1S","ind.i.1s"
"flont:indicativeImperfect2S","ind.i.2s"
"flont:indicativeImperfect3S","ind.i.3s"
"flont:indicativeImperfect1P","ind.i.1p"
"flont:indicativeImperfect2P","ind.i.2p"
"flont:indicativeImperfect3P","ind.i.3p"
"flont:indicativeSimplePast1S","ind.ps.1s"
"flont:indicativeSimplePast2S","ind.ps.2s"
"flont:indicativeSimplePast3S","ind.ps.3s"
"flont:indicativeSimplePast1P","ind.ps.1p"
"flont:indicativeSimplePast2P","ind.ps.2p"
"flont:indicativeSimplePast3P","ind.ps.3p"
"flont:indicativeSimpleFuture1S","ind.f.1s"
"flont:indicativeSimpleFuture2S","ind.f.2s"
"flont:indicativeSimpleFuture3S","ind.f.3s"
"flont:indicativeSimpleFuture1P","ind.f.1p"
"flont:indicativeSimpleFuture2P","ind.f.2p"
"flont:indicativeSimpleFuture3P","ind.f.3p"
"flont:conditionalPresent1S","cond.p.1s"
"flont:conditionalPresent2S","cond.p.2s"
"flont:conditionalPresent3S","cond.p.3s"
"flont:conditionalPresent1P","cond.p.1p"
"flont:conditionalPresent2P","cond.p.2p"
"flont:conditionalPresent3P","cond.p.3p"
"flont:subjonctivePresent1S","sub.p.1s"
"flont:subjonctivePresent2S","sub.p.2s"
"flont:subjonctivePresent3S","sub.p.3s"
"flont:subjonctivePresent1P","sub.p.1p"
"flont:subjonctivePresent2P","sub.p.2p"
"flont:subjonctivePresent3P","sub.p.3p"
"flont:subjonctiveImperfect1S","sub.i.1s"
"flont:subjonctiveImperfect2S","sub.i.2s"
"flont:subjonctiveImperfect3S","sub.i.3s"
"flont:subjonctiveImperfect1P","sub.i.1p"
"flont:subjonctiveImperfect2P","sub.i.2p"
"flont:subjonctiveImperfect3P","sub.i.3p"
"flont:imperativePresent2S","imp.p.2s"
"flont:imperativePresent1P","imp.p.1p"
"flont:imperativePresent2P","imp.p.2p"
"flont:imperativePresent2SPostposed","imp.p.2s.postposé"
