"iri","template_names","label_fr","label_en"
"flont:isSynonymOf","synonymes;syn","Synonyme","Synonym"
"flont:isQuasiSynonymOf","quasi-synonymes;q-syn","Quasi-synonyme","Quasi-synonym"
"flont:isAntonymOf","antonymes","Antonyme","Antonym"
"flont:hasDerivedWord","dérivés","Mot dérivé","Derived word"
"flont:hasDerivedPhrase","phrases","Phrase dérivée","Derived sentence"
"flont:hasDerivedLocution","expressions","Expression","Locution"
"flont:hasRelatedVocabulary","vocabulaire;voc","Vocabulaire apparenté","Similar vocabulary"
"flont:hasRelatedWord","apparentés","Mot apparenté","Similar word"
"flont:hasHyponym","hyponymes","Hyponyme","Hyponym"
"flont:hasHypernym","hyperonymes","Hyperonyme","Hypernym"
"flont:hasHolonym","holonymes","Holonyme","Holonym"
"flont:hasMeronym","méronymes","Méronyme","Meronym"
"flont:hasHomophone","homophones","Homophone","Homophone"
"flont:hasAbbreviation","abréviations","Abréviation","Abbreviation"
"flont:hasSpellingVariant","variantes orthographiques","Variante orthographique","Spelling variant"
"flont:hasVariant","variantes","Variante","Variant"
"flont:hasDialectVariant","variantes dialectales","Variante dialectale","Dialect variant"
"flont:hasDemonym","gentilés","Gentilé","Demonym"
"flont:isParonymOf","paronymes","Paronyme","Paronym"
"flont:hasDiminutive","diminutifs","Diminutif","Diminutive"
"flont:hasAugmentative","augmentatifs","Augmentatif","Augmentative"
"flont:isComponentOf","composés","Composé","Component of"
"flont:hasOldSpelling","anciennes orthographes","Ancienne orthographe","Old spelling"
"flont:hasTroponym","troponymes","Troponyme","Troponym"
"flont:isAnagramOf","anagrammes","Anagramme","Anagram"
